Name,Time,Dir,Alt,Mag
FLOCK 2K-37,10:00:00,SE,10°,13.9
IRIDIUM 17,10:00:04,SE,11°,14.9
LEMUR-2-LUCYBRYCE,10:00:19,NNE,10°,6.4
SL-3 R/B,10:00:20,NNW,10°,5.1
SL-3 R/B,10:00:20,NNW,10°,5.1
FLOCK 3P-17,10:01:03,NNE,10°,6.5
PEASSS,10:01:14,NNE,10°,6.5
SL-23 DEB,10:01:14,SSW,10°,8.7
FLOCK 3P-83,10:01:37,NNE,10°,6.5
FLOCK 3P-24,10:01:48,NNE,10°,6.5
SWARM C,10:02:12,NNW,10°,5.9
SWARM C,10:02:12,NNW,10°,5.9
FLOCK 2K-39,10:02:13,SE,10°,14.2
SWARM A,10:02:24,NNW,10°,5.8
SWARM A,10:02:24,NNW,10°,5.8
FLOCK 2K-28,10:02:26,SE,10°,14.4
SAUDISAT 4,10:02:36,SSW,10°,9.1
SAUDISAT 4,10:02:36,SSW,10°,9.1
SL-3 R/B,10:02:44,SSW,10°,7.4
SL-3 R/B,10:02:44,SSW,10°,7.4
OBJECT AH,10:03:07,NNE,10°,6.4
FLOCK 1C-4,10:03:11,E,10°,9.4
OBJECT AG,10:03:15,NNE,10°,6.4
OBJECT AF,10:03:20,NNE,10°,6.4
OBJECT AE,10:03:26,NNE,10°,6.4
SL-16 R/B,10:03:27,NW,10°,4.1
SL-16 R/B,10:03:27,NW,10°,4.1
CXO,10:03:54,SSE,42°,16.2
SL-16 R/B,10:03:55,N,10°,3.7
SL-16 R/B,10:03:55,N,10°,3.7
OBJECT AD,10:03:56,NNE,12°,6.3
IRIDIUM 53,10:04:14,SW,10°,9
FLOCK 3P-73,10:04:18,NNE,10°,6.5
FOX-1D (AO-92),10:04:28,NNE,12°,6.3
METOP-B,10:04:35,NNE,10°,6.7
METOP-B,10:04:35,NNE,10°,6.7
FLOCK 2K-40,10:04:42,SE,10°,14.5
FLOCK 2P-3,10:05:02,NNE,10°,6.5
OBJECT AB,10:05:03,NNE,12°,6.3
FLOCK 3P-12,10:05:16,NNE,10°,6.5
OBJECT AA,10:05:21,NNE,12°,6.3
FLOCK 1C-1,10:05:39,E,10°,9.4
OBJECT Z,10:05:44,NNE,11°,6.3
OBJECT Y,10:06:17,NNE,11°,6.3
LEMUR-2-ANDIS,10:06:24,SE,11°,13.3
OBJECT X,10:06:25,NNE,11°,6.3
PICSAT,10:06:26,NNE,11°,6.3
FLOCK 3P-58,10:06:26,NNE,10°,6.4
OBJECT S,10:06:49,NNE,11°,6.3
OBJECT V,10:06:51,NNE,11°,6.3
FLOCK 2K-08,10:07:02,SE,10°,14.7
OBJECT R,10:07:10,NNE,10°,6.4
FLOCK 2K-43,10:07:20,SE,10°,14.8
SCISAT 1,10:07:30,NW,10°,9.6
SCISAT 1,10:07:30,NW,10°,9.6
FLOCK 3P-5,10:07:38,NNE,10°,6.4
OBJECT Q,10:07:38,NNE,10°,6.4
OBJECT P,10:08:14,NNE,10°,6.4
OBJECT N,10:08:16,NNE,10°,6.4
SL-14 R/B,10:08:38,SE,10°,13.4
SL-14 R/B,10:08:38,SE,10°,13.4
OBJECT M,10:08:48,NNE,10°,6.4
FLOCK 3P-8,10:08:52,NNE,11°,6.3
FLOCK 2K-05,10:09:10,SE,10°,14.8
CANX-7,10:09:11,NNE,13°,6.7
LEMUR-2-ZACHARY,10:09:18,SE,11°,13.5
OBJECT L,10:09:21,NNE,10°,6.4
3CAT-2,10:09:27,E,10°,8
OBJECT K,10:09:27,NNE,10°,6.4
POPACS 1,10:09:28,N,11°,7.6
OBJECT J,10:09:30,NNE,10°,6.4
OBJECT H,10:09:37,NNE,10°,6.4
H-2A R/B,10:09:42,NNE,10°,4.4
H-2A R/B,10:09:42,NNE,10°,4.4
OBJECT T,10:09:59,N,10°,5.8
LEMUR-2-GREENBERG,10:10:13,SE,11°,13.7
FLOCK 3P-9,10:10:23,NNE,11°,6.3
IRIDIUM 42,10:10:24,SE,11°,15
OBJECT F,10:10:24,NNE,10°,6.3
